latency,startTimeNanos
866,6891770
866,6891770
866,6891770
9,6892637
9,6892637
9,6892637
9,6892646
9,6892646
9,6892646
9,6892655
9,6892655
9,6892655
9,6892664
9,6892664
9,6892664
7,6892673
8,6892673
8,6892673
8,6892680
7,6892681
7,6892681
9,6892688
9,6892688
9,6892688
8,6892697
8,6892697
8,6892697
9,6892705
9,6892705
9,6892705
9,6892714
9,6892714
9,6892714
8,6892723
8,6892723
8,6892723
9,6892731
9,6892731
9,6892731
8,6892740
8,6892740
8,6892740
9,6892748
9,6892748
9,6892748
8,6892757
8,6892757
8,6892757
8,6892765
8,6892765
8,6892765
7,6892773
7,6892773
7,6892773
7,6892781
8,6892780
8,6892780
8,6892788
8,6892788
8,6892788
7,6892796
7,6892796
7,6892796
7,6892803
7,6892803
7,6892803
8,6892810
7,6892811
8,6892810
7,6892818
7,6892818
7,6892818
7,6892825
7,6892825
7,6892825
7,6892832
7,6892832
7,6892832
9,6892839
9,6892839
9,6892839
7,6892848
7,6892848
7,6892848
7,6892855
7,6892855
7,6892855
7,6892862
7,6892862
7,6892862
7,6892869
7,6892869
7,6892869
7,6892876
7,6892876
7,6892876
7,6892883
7,6892883
7,6892883
7,6892890
7,6892890
7,6892890
7,6892897
7,6892897
7,6892897
6,6892904
6,6892904
6,6892904
6,6892910
6,6892910
6,6892910
7,6892916
7,6892916
7,6892916
6,6892923
6,6892923
7,6892923
6,6892929
6,6892929
5,6892930
7,6892935
6,6892936
6,6892936
6,6892942
6,6892942
6,6892942
6,6892948
6,6892948
8,6892948
7,6892954
5,6892956
8,6892954
6,6892961
5,6892962
6,6892961
7,6892967
7,6892967
7,6892967
6,6892974
6,6892974
6,6892974
6,6892980
6,6892980
6,6892980
6,6892986
6,6892986
6,6892986
7,6892992
7,6892992
7,6892992
6,6892999
6,6892999
6,6892999
6,6893005
6,6893005
6,6893005
6,6893011
6,6893011
6,6893011
7,6893017
7,6893017
7,6893017
17,6893024
17,6893024
17,6893024
8,6893041
8,6893041
8,6893041
15,6893049
15,6893049
15,6893049
7,6893064
7,6893064
7,6893064
7,6893071
7,6893071
7,6893071
6,6893078
6,6893078
6,6893078
6,6893084
6,6893084
6,6893084
6,6893090
6,6893090
6,6893090
7,6893096
7,6893096
7,6893096
5,6893103
5,6893103
5,6893103
6,6893108
6,6893108
5,6893109
6,6893114
6,6893114
6,6893114
6,6893120
6,6893120
6,6893120
5,6893126
5,6893126
5,6893126
6,6893131
6,6893131
6,6893131
5,6893137
5,6893137
5,6893137
6,6893142
6,6893142
6,6893142
5,6893148
5,6893148
5,6893148
6,6893153
6,6893153
6,6893153
5,6893159
5,6893159
5,6893159
6,6893164
6,6893164
6,6893164
7,6893170
7,6893170
7,6893170
6,6893177
6,6893177
6,6893177
5,6893183
5,6893183
5,6893183
6,6893188
6,6893188
6,6893188
6,6893194
6,6893194
6,6893194
6,6893200
6,6893200
6,6893200
6,6893206
6,6893206
6,6893206
5,6893212
5,6893212
5,6893212
6,6893217
6,6893217
6,6893217
5,6893223
5,6893223
5,6893223
6,6893228
6,6893228
6,6893228
6,6893234
6,6893234
6,6893234
5,6893240
5,6893240
5,6893240
6,6893245
6,6893245
6,6893245
5,6893251
5,6893251
5,6893251
6,6893256
6,6893256
6,6893256
6,6893262
6,6893262
6,6893262
6,6893268
6,6893268
6,6893268
5,6893274
5,6893274
5,6893274
6,6893279
6,6893279
6,6893279
5,6893285
5,6893285
5,6893285
6,6893290
6,6893290
6,6893290
6,6893296
6,6893296
6,6893296
5,6893302
5,6893302
5,6893302
6,6893308
7,6893307
7,6893307
7,6893314
7,6893314
7,6893314
6,6893321
6,6893321
6,6893321
6,6893327
6,6893327
6,6893327
6,6893333
6,6893333
6,6893333
6,6893339
6,6893339
6,6893339
5,6893345
5,6893345
5,6893345
5,6893351
5,6893351
5,6893351
6,6893356
6,6893356
6,6893356
6,6893362
6,6893362
6,6893362
6,6893368
6,6893368
6,6893368
6,6893374
6,6893374
6,6893374
5,6893380
5,6893380
5,6893380
6,6893385
6,6893385
6,6893385
5,6893391
5,6893391
5,6893391
6,6893396
6,6893396
6,6893396
5,6893402
5,6893402
5,6893402
5,6893407
5,6893407
5,6893407
5,6893413
6,6893412
6,6893412
6,6893418
6,6893418
6,6893418
5,6893424
5,6893424
5,6893424
6,6893429
6,6893429
6,6893429
5,6893435
5,6893435
5,6893435
5,6893440
5,6893440
5,6893440
7,6893445
7,6893445
7,6893445
5,6893452
5,6893452
5,6893452
5,6893457
5,6893457
5,6893457
5,6893462
6,6893462
6,6893462
5,6893468
5,6893468
5,6893468
5,6893473
5,6893473
5,6893473
6,6893478
6,6893478
6,6893478
6,6893484
6,6893484
6,6893484
5,6893490
5,6893490
5,6893490
5,6893495
5,6893495
5,6893495
6,6893500
5,6893501
5,6893501
5,6893506
5,6893506
5,6893506
5,6893511
5,6893511
5,6893511
5,6893516
5,6893516
5,6893516
5,6893521
5,6893521
5,6893521
5,6893526
5,6893526
5,6893526
5,6893531
5,6893531
5,6893531
6,6893536
6,6893536
6,6893536
5,6893542
5,6893542
5,6893542
5,6893547
5,6893547
5,6893547
5,6893552
5,6893552
5,6893552
5,6893557
5,6893557
5,6893557
5,6893562
5,6893562
5,6893562
5,6893567
5,6893567
5,6893567
5,6893572
5,6893572
5,6893572
5,6893577
5,6893577
5,6893577
6,6893582
6,6893582
6,6893582
4,6893588
4,6893588
4,6893588
8,6893593
8,6893593
9,6893592
6,6893601
6,6893601
6,6893601
5,6893607
5,6893607
5,6893607
5,6893612
5,6893612
5,6893612
4,6893617
4,6893617
4,6893617
5,6893621
5,6893621
5,6893621
5,6893626
5,6893626
5,6893626
4,6893631
4,6893631
4,6893631
5,6893635
5,6893635
5,6893635
4,6893640
4,6893640
4,6893640
5,6893644
5,6893644
5,6893644
5,6893649
5,6893649
5,6893649
5,6893654
5,6893654
5,6893654
4,6893659
4,6893659
4,6893659
6,6893663
6,6893663
6,6893663
4,6893669
4,6893669
4,6893669
5,6893673
5,6893673
5,6893673
5,6893678
5,6893678
5,6893678
5,6893683
5,6893683
5,6893683
4,6893688
5,6893688
6,6893688
6,6893692
4,6893694
6,6893693
6,6893698
6,6893698
5,6893699
4,6893704
4,6893704
4,6893704
5,6893708
5,6893708
5,6893708
5,6893713
5,6893713
5,6893713
5,6893718
5,6893718
5,6893718
4,6893723
4,6893723
4,6893723
5,6893727
6,6893727
6,6893727
5,6893732
4,6893733
4,6893733
5,6893737
5,6893737
5,6893737
5,6893742
5,6893742
5,6893742
4,6893747
4,6893747
4,6893747
5,6893751
5,6893751
5,6893751
4,6893756
4,6893756
4,6893756
5,6893760
5,6893760
5,6893760
5,6893765
5,6893765
5,6893765
